;name;party;date;color
http://ldf.fi/semparl/people/p1116;Tolppanen, Maria;Suomen Sosialidemokraattinen Puolue;2016-06-23;#E11931
http://ldf.fi/semparl/people/p573;Keränen, Niilo;Suomen Keskusta;1999-03-24;#01954B
http://ldf.fi/semparl/people/p1094;Eestilä, Markku;Kansallinen Kokoomus;2011-04-20;#00587C
http://ldf.fi/semparl/people/p1088;Mäntylä, Hanna;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p1108;Sipilä, Juha;Suomen Keskusta;2011-04-20;#01954B
http://ldf.fi/semparl/people/p1096;Elomaa, Ritva;Perussuomalaiset;2017-06-23;#FFDE55
http://ldf.fi/semparl/people/p1320;Elovaara, Tiina;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p363;Hassi, Satu;Vihreä liitto;1991-03-22;#61BF1A
http://ldf.fi/semparl/people/p1041;Saarakkala, Vesa-Matti;Korjausliike;2017-06-13;#0F4DBC
http://ldf.fi/semparl/people/p1316;Skinnari, Ville;Suomen Sosialidemokraattinen Puolue;2015-04-22;#E11931
http://ldf.fi/semparl/people/p1299;Multala, Sari;Kansallinen Kokoomus;2015-04-22;#00587C
http://ldf.fi/semparl/people/p175;Kankaanniemi, Toimi;Perussuomalaiset;2015-04-22;#FFDE55
http://ldf.fi/semparl/people/p1144;Kymäläinen, Suna;Suomen Sosialidemokraattinen Puolue;2011-04-20;#E11931
http://ldf.fi/semparl/people/p565;Huovinen, Susanna;Suomen Sosialidemokraattinen Puolue;1999-01-01;#E11931
http://ldf.fi/semparl/people/p1133;Kari, Mika;Suomen Sosialidemokraattinen Puolue;2011-04-20;#E11931
http://ldf.fi/semparl/people/p300;Väyrynen, Paavo;Seitsemän tähden liike;2018-11-16;#239DAC
http://ldf.fi/semparl/people/p1321;Talja, Martti;Suomen Keskusta;2015-04-22;#01954B
http://ldf.fi/semparl/people/p1345;Löfström, Mats;Suomen ruotsalainen kansanpuolue;2015-04-22;#EFCB65
http://ldf.fi/semparl/people/p1219;Sirén, Saara-Sofia;Kansallinen Kokoomus;2015-04-22;#00587C
http://ldf.fi/semparl/people/p118;Haavisto, Pekka;Vihreä liitto;1987-01-01;#61BF1A
